unit	age	geo	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 
PC	Y45-54	CZ	19.6	22.0	22.8	23.4	23.5	24.5	24.4 	23.8 	24.0 	22.9 	21.2 	27.1 	26.9 	: 
PC	Y45-54	DE	: 	: 	25.6 	: 	: 	: 	28.4 	: 	: 	: 	27.2 	: 	: 	: 
PC	Y45-54	DK	17.2 	17.6 	18.4 	18.4 	18.5 	18.4 	19.3 	19.5 	20.0 	19.6 	19.8 	19.4 	19.5 	: 
PC	Y45-54	EE	: 	: 	22.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC	Y45-54	EL	: 	: 	9.8 	: 	: 	: 	14.5 	: 	: 	: 	18.4 	: 	: 	: 
PC	Y45-54	ES	12.2	12.2 	13.8 	15.8 	16.8 	16.6 	19.0 	19.6 	20.5 	19.6 	18.8 	18.8 	17.6 	18.8 
PC	Y45-54	FI	19.8 	20.3 	20.7 	20.2 	20.2 	20.2 	20.6 	19.9 	20.7 	20.9 	22.8 	23.0 	23.2 	: 
PC	Y45-54	FR	18.4	18.8	19.6 	19.4 	19.1 	18.9 	19.2 	19.4 	19.6 	19.5 	19.5 	20.0 	: 	: 
PC	Y45-54	HR	19.8	18.6	18.5 	18.7 	15.5 	: 	13.6 	9.0 	: 	: 	9.1 	: 	: 	: 
PC	Y45-54	HU	18.3 	19.1	14.7 	18	15.8 	16.2 	17.6 	23.8 	23.6 	21.4 	21.4 	20.4 	19.5 	17.9 
PC	Y45-54	IE	: 	: 	10.0 	23.1	23.3	23.8	18.7 	19.6 	19.6 	19.6 	17.8 	19.5 	16.5 	: 
PC	Y45-54	IS	19.0	20.8	20.2 	21.8 	23.5 	26.7 	24.9 	24.9 	23.0 	22.2 	22.7 	23.3 	26.1 	27.4 
PC	Y45-54	IT	5.9	6.4	7.5 	8.6	6.4	7.4	7.8 	9.1 	7.6 	6.3 	6.1 	4.1 	1.2 	1.0 
PC	Y45-54	LT	11.0	9.8	10.9 	12.9 	10.9 	11.3 	11.3 	10.8 	10.5 	10.2 	12.5	16.4 	22.6 	23.4 
PC	Y45-54	LU	: 	: 	6.6 	: 	: 	: 	9.7 	: 	: 	: 	14.6 	14.9 	15.3 	15.6 
PC	Y45-54	LV	19.0	17.8	17.5	18.1	17.2	17.1	14.6 	: 	: 	: 	12.7 	: 	: 	: 
PC	Y45-54	ME	: 	: 	: 	: 	: 	: 	7.3 	: 	: 	: 	: 	: 	: 	: 
PC	Y45-54	MK	: 	: 	: 	: 	: 	: 	13.8 	: 	: 	: 	: 	: 	: 	: 
PC	Y45-54	MT	12.4	14.6	15.9 	14.2 	14.9 	14.7 	14.0 	10.8 	9.1 	6.8 	6.9 	7.7 	10.5 	7.8 
PC	Y45-54	NL	18.6	19.1	21.5 	21.4 	21.2 	21.4 	24.7 	24.2 	24.4 	24.5 	24.2 	24.8 	25.1 	25.8 
PC	Y45-54	NO	17.0	16.8	16.5 	17.1 	18.0 	19.6 	17.7 	18.4 	18.2 	20.1 	20.3 	21.1 	21.6 	: 
PC	Y45-54	PL	5.5 	6.8 	8.2 	6.9 	6.9 	6.1 	5.3 	5.6	5.8 	4.9 	4.0 	8.1 	12.3 	16.4 
