geo,year,percent,age
FI,2019,20.5,Y55-64
FR,2019,21.7,Y55-64
HR,2019,8.6,Y55-64
HU,2019,14.8,Y55-64
IE,2019,:,Y55-64
IS,2019,21.9,Y55-64
IT,2019,8.8,Y55-64
LT,2019,9.5,Y55-64
LU,2019,:,Y55-64
LV,2019,15.5,Y55-64
ME,2019,:,Y55-64
MK,2019,:,Y55-64
MT,2019,11.7,Y55-64
NL,2019,20.4,Y55-64
NO,2019,19,Y55-64
PL,2019,-3.4,Y55-64
PT,2019,9.3,Y55-64
RO,2019,-5.4,Y55-64
RS,2019,:,Y55-64
SE,2019,14.7,Y55-64
SI,2019,6.1,Y55-64
SK,2019,16.3,Y55-64
TR,2019,:,Y55-64
UK,2019,:,Y55-64
AL,2019,:,Y_GE65
AT,2019,:,Y_GE65
BE,2019,:,Y_GE65
BG,2019,-12.1,Y_GE65
CH,2019,28.3,Y_GE65
CY,2019,25.6,Y_GE65
CZ,2019,13.2,Y_GE65
DE,2019,:,Y_GE65
DK,2019,9.4,Y_GE65
EE,2019,:,Y_GE65
EL,2019,:,Y_GE65
ES,2019,32.5,Y_GE65
FI,2019,24,Y_GE65
FR,2019,26.3,Y_GE65
HR,2019,5.2,Y_GE65
HU,2019,18.7,Y_GE65
IE,2019,:,Y_GE65
IS,2019,19,Y_GE65
IT,2019,12.7,Y_GE65
LT,2019,9.8,Y_GE65
LU,2019,:,Y_GE65
LV,2019,14,Y_GE65
ME,2019,:,Y_GE65
MK,2019,:,Y_GE65
MT,2019,12,Y_GE65
NL,2019,13.8,Y_GE65
NO,2019,15.9,Y_GE65
PL,2019,5.7,Y_GE65
PT,2019,27.8,Y_GE65
RO,2019,-17.8,Y_GE65
RS,2019,:,Y_GE65
SE,2019,11.7,Y_GE65
SI,2019,5.1,Y_GE65
SK,2019,11.7,Y_GE65
TR,2019,:,Y_GE65
UK,2019,:,Y_GE65
AL,2019,:,Y_LT25
AT,2019,:,Y_LT25
BE,2019,0.9,Y_LT25
BG,2019,8.2,Y_LT25
CH,2019,4,Y_LT25
CY,2019,13.9,Y_LT25
CZ,2019,9.5,Y_LT25
DE,2019,:,Y_LT25
DK,2019,4.4,Y_LT25
EE,2019,:,Y_LT25
EL,2019,:,Y_LT25
ES,2019,-3,Y_LT25
FI,2019,5.9,Y_LT25
FR,2019,3.7,Y_LT25
HR,2019,4.3,Y_LT25
HU,2019,8.1,Y_LT25
IE,2019,:,Y_LT25
IS,2019,1.9,Y_LT25
IT,2019,3.6,Y_LT25
LT,2019,11.3,Y_LT25
LU,2019,:,Y_LT25
LV,2019,10.6,Y_LT25
ME,2019,:,Y_LT25
MK,2019,:,Y_LT25
MT,2019,4.2,Y_LT25
NL,2019,2.3,Y_LT25
NO,2019,0.7,Y_LT25
PL,2019,9,Y_LT25
PT,2019,6,Y_LT25
RO,2019,5.4,Y_LT25
RS,2019,:,Y_LT25
SE,2019,5.1,Y_LT25
SI,2019,9.1,Y_LT25
SK,2019,10.4,Y_LT25
TR,2019,:,Y_LT25
UK,2019,:,Y_LT25
AL,2018,1.8,Y25-34
AT,2018,13,Y25-34
BE,2018,3.4,Y25-34
BG,2018,15.8,Y25-34
CH,2018,7.4,Y25-34
CY,2018,4.2,Y25-34
CZ,2018,13.6,Y25-34
DE,2018,9.9,Y25-34
DK,2018,11.1,Y25-34
EE,2018,19.8,Y25-34
EL,2018,1.6,Y25-34
ES,2018,4.6,Y25-34
FI,2018,10.1,Y25-34
FR,2018,10.7,Y25-34
HR,2018,8.9,Y25-34
HU,2018,11.4,Y25-34
IE,2018,5.7,Y25-34
IS,2018,6.8,Y25-34
IT,2018,5.8,Y25-34
LT,2018,13.1,Y25-34
LU,2018,-8.9,Y25-34
LV,2018,18.7,Y25-34
ME,2018,:,Y25-34
MK,2018,:,Y25-34
MT,2018,9.5,Y25-34
NL,2018,1.1,Y25-34
NO,2018,8,Y25-34
PL,2018,11,Y25-34
PT,2018,4.7,Y25-34
RO,2018,8.4,Y25-34
RS,2018,9.6,Y25-34
SE,2018,8,Y25-34
SI,2018,10.3,Y25-34
SK,2018,15.9,Y25-34
TR,2018,:,Y25-34
UK,2018,10,Y25-34
AL,2018,7.9,Y35-44
AT,2018,18.9,Y35-44
BE,2018,5.4,Y35-44
BG,2018,18.8,Y35-44
CH,2018,16.2,Y35-44
CY,2018,7.2,Y35-44
CZ,2018,25,Y35-44
DE,2018,18.7,Y35-44
DK,2018,16.1,Y35-44
EE,2018,25.7,Y35-44
EL,2018,9,Y35-44
ES,2018,9.7,Y35-44
FI,2018,17.4,Y35-44
FR,2018,13.5,Y35-44
HR,2018,12.7,Y35-44
HU,2018,20.3,Y35-44
IE,2018,15,Y35-44
IS,2018,16.2,Y35-44
IT,2018,4.8,Y35-44
LT,2018,18,Y35-44
LU,2018,-3.9,Y35-44
LV,2018,21.8,Y35-44
ME,2018,:,Y35-44
MK,2018,:,Y35-44
MT,2018,15.4,Y35-44
NL,2018,10.4,Y35-44
